OID_,ID,NID,WEIGHT
303,95,67,1.000000000000000
304,95,94,1.000000000000000
305,95,96,1.000000000000000
306,95,129,1.000000000000000
307,95,130,1.000000000000000
308,95,131,1.000000000000000
309,130,95,1.000000000000000
310,130,129,1.000000000000000
311,130,131,1.000000000000000
312,130,169,1.000000000000000
313,130,170,1.000000000000000
314,130,171,1.000000000000000
315,96,67,1.000000000000000
316,96,68,1.000000000000000
317,96,69,1.000000000000000
318,96,95,1.000000000000000
319,96,97,1.000000000000000
320,96,131,1.000000000000000
321,131,95,1.000000000000000
322,131,96,1.000000000000000
323,131,97,1.000000000000000
324,131,130,1.000000000000000
325,131,132,1.000000000000000
326,131,171,1.000000000000000
327,97,69,1.000000000000000
328,97,96,1.000000000000000
329,97,98,1.000000000000000
330,97,131,1.000000000000000
331,97,132,1.000000000000000
332,97,133,1.000000000000000
333,132,97,1.000000000000000
334,132,131,1.000000000000000
335,132,133,1.000000000000000
336,132,171,1.000000000000000
337,132,172,1.000000000000000
338,132,173,1.000000000000000
339,98,69,1.000000000000000
340,98,70,1.000000000000000
341,98,71,1.000000000000000
342,98,97,1.000000000000000
343,98,99,1.000000000000000
344,98,133,1.000000000000000
345,133,97,1.000000000000000
346,133,98,1.000000000000000
347,133,99,1.000000000000000
348,133,132,1.000000000000000
349,133,134,1.000000000000000
350,133,173,1.000000000000000
351,169,128,1.000000000000000
352,169,129,1.000000000000000
353,169,130,1.000000000000000
354,169,168,1.000000000000000
355,169,170,1.000000000000000
356,169,211,1.000000000000000
357,211,168,1.000000000000000
358,211,169,1.000000000000000
359,211,170,1.000000000000000
360,211,210,1.000000000000000
361,211,212,1.000000000000000
362,211,253,1.000000000000000
363,253,210,1.000000000000000
364,253,211,1.000000000000000
365,253,212,1.000000000000000
366,253,252,1.000000000000000
367,253,254,1.000000000000000
368,253,295,1.000000000000000
369,170,130,1.000000000000000
370,170,169,1.000000000000000
371,170,171,1.000000000000000
372,170,211,1.000000000000000
373,170,212,1.000000000000000
374,170,213,1.000000000000000
375,212,170,1.000000000000000
376,212,211,1.000000000000000
377,212,213,1.000000000000000
378,212,253,1.000000000000000
379,212,254,1.000000000000000
380,212,255,1.000000000000000
381,171,130,1.000000000000000
382,171,131,1.000000000000000
383,171,132,1.000000000000000
384,171,170,1.000000000000000
385,171,172,1.000000000000000
386,171,213,1.000000000000000
387,213,170,1.000000000000000
388,213,171,1.000000000000000
389,213,172,1.000000000000000
390,213,212,1.000000000000000
391,213,214,1.000000000000000
392,213,255,1.000000000000000
393,255,212,1.000000000000000
394,255,213,1.000000000000000
395,255,214,1.000000000000000
396,255,254,1.000000000000000
397,255,256,1.000000000000000
398,255,297,1.000000000000000
399,172,132,1.000000000000000
400,172,171,1.000000000000000
401,172,173,1.000000000000000
402,172,213,1.000000000000000
403,172,214,1.000000000000000
404,172,215,1.000000000000000
405,214,172,1.000000000000000
406,214,213,1.000000000000000
407,214,215,1.000000000000000
408,214,255,1.000000000000000
409,214,256,1.000000000000000
410,214,257,1.000000000000000
411,173,132,1.000000000000000
412,173,133,1.000000000000000
413,173,134,1.000000000000000
414,173,172,1.000000000000000
415,173,174,1.000000000000000
416,173,215,1.000000000000000
417,215,172,1.000000000000000
418,215,173,1.000000000000000
419,215,174,1.000000000000000
420,215,214,1.000000000000000
421,215,216,1.000000000000000
422,215,257,1.000000000000000
423,257,214,1.000000000000000
424,257,215,1.000000000000000
425,257,216,1.000000000000000
426,257,256,1.000000000000000
427,257,258,1.000000000000000
428,257,299,1.000000000000000
429,7,6,1.000000000000000
430,7,14,1.000000000000000
431,7,15,1.000000000000000
432,7,16,1.000000000000000
433,15,7,1.000000000000000
434,15,14,1.000000000000000
435,15,16,1.000000000000000
436,15,28,1.000000000000000
437,15,29,1.000000000000000
438,15,30,1.000000000000000
439,29,15,1.000000000000000
440,29,28,1.000000000000000
441,29,30,1.000000000000000
442,29,46,1.000000000000000
443,29,47,1.000000000000000
444,29,48,1.000000000000000
445,16,7,1.000000000000000
446,16,8,1.000000000000000
447,16,15,1.000000000000000
448,16,17,1.000000000000000
449,16,30,1.000000000000000
450,30,15,1.000000000000000
451,30,16,1.000000000000000
452,30,17,1.000000000000000
453,30,29,1.000000000000000
454,30,31,1.000000000000000
455,30,48,1.000000000000000
456,8,16,1.000000000000000
457,8,17,1.000000000000000
458,8,18,1.000000000000000
459,17,8,1.000000000000000
460,17,16,1.000000000000000
461,17,18,1.000000000000000
462,17,30,1.000000000000000
463,17,31,1.000000000000000
464,17,32,1.000000000000000
465,31,17,1.000000000000000
466,31,30,1.000000000000000
467,31,32,1.000000000000000
468,31,48,1.000000000000000
469,31,49,1.000000000000000
470,31,50,1.000000000000000
471,18,8,1.000000000000000
472,18,17,1.000000000000000
473,18,19,1.000000000000000
474,18,32,1.000000000000000
