# id, s, p
260.000000,2.252743,0.012138
261.000000,0.901292,0.183717
262.000000,0.675476,0.249687
263.000000,1.223421,0.110585
264.000000,1.708161,0.043803
265.000000,1.328016,0.092086
266.000000,0.748662,0.227030
267.000000,1.373865,0.084742
268.000000,2.096273,0.018029
269.000000,1.059610,0.144661
270.000000,1.176420,0.119714
271.000000,1.140608,0.127017
272.000000,0.988663,0.161414
273.000000,0.932327,0.175584
274.000000,1.274779,0.101194
275.000000,1.331906,0.091445
276.000000,1.099476,0.135780
277.000000,1.327659,0.092145
278.000000,1.292633,0.098069
279.000000,1.548453,0.060757
280.000000,1.741276,0.040818
281.000000,1.714279,0.043239
282.000000,1.644727,0.050013
283.000000,1.635866,0.050934
284.000000,1.521225,0.064102
285.000000,1.734203,0.041441
286.000000,1.777893,0.037711
287.000000,1.744408,0.040544
288.000000,1.715155,0.043158
289.000000,1.441810,0.074678
290.000000,0.671521,0.250944
291.000000,1.164063,0.122199
292.000000,2.020929,0.021644
293.000000,0.414744,0.339165
294.000000,2.240612,0.012526
295.000000,0.104049,0.458565
296.000000,-0.167243,0.433589
297.000000,0.881307,0.189076
298.000000,2.569731,0.005089
299.000000,-0.246544,0.402630
300.000000,1.818775,0.034473
301.000000,4.533970,0.000003
302.000000,4.398357,0.000005
303.000000,0.690801,0.244845
304.000000,0.058508,0.476672
305.000000,0.728081,0.233282
306.000000,0.988835,0.161372
307.000000,1.592738,0.055610
308.000000,1.464139,0.071578
309.000000,0.464895,0.321003
310.000000,0.630822,0.264079
311.000000,1.321211,0.093215
312.000000,0.890564,0.186581
313.000000,1.373439,0.084808
314.000000,0.575817,0.282370
315.000000,1.271582,0.101761
316.000000,1.407474,0.079643
317.000000,1.139702,0.127205
318.000000,0.872027,0.191597
319.000000,1.188724,0.117274
320.000000,1.273626,0.101398
321.000000,1.592687,0.055615
322.000000,1.659440,0.048514
323.000000,1.652449,0.049222
324.000000,1.244428,0.106671
325.000000,1.428837,0.076526
326.000000,1.358872,0.087094
327.000000,1.638340,0.050675
328.000000,1.674318,0.047034
329.000000,1.623799,0.052209
330.000000,1.448274,0.073770
331.000000,1.415849,0.078410
332.000000,0.818716,0.206474
333.000000,0.724544,0.234366
334.000000,0.864947,0.193534
335.000000,0.174335,0.430801
336.000000,1.069079,0.142517
337.000000,0.152828,0.439267
338.000000,2.487011,0.006441
339.000000,4.003106,0.000031
340.000000,1.714602,0.043209
341.000000,3.337811,0.000422
342.000000,-0.195625,0.422452
343.000000,2.995768,0.001369
344.000000,6.666896,0.000000
345.000000,6.226504,0.000000
346.000000,4.135308,0.000018
347.000000,3.852764,0.000058
348.000000,-0.753630,0.225536
349.000000,-0.316789,0.375702
350.000000,0.730087,0.232669
351.000000,0.149500,0.440579
352.000000,1.325555,0.092494
353.000000,1.252985,0.105106
354.000000,0.504537,0.306942
355.000000,1.358810,0.087103
356.000000,1.078160,0.140481
357.000000,1.277535,0.100707
358.000000,1.276587,0.100874
359.000000,1.251837,0.105315
360.000000,0.652903,0.256909
361.000000,0.717773,0.236449
362.000000,0.788694,0.215145
363.000000,1.128401,0.129575
364.000000,1.584091,0.056586
365.000000,1.345308,0.089263
366.000000,1.027886,0.152002
367.000000,0.742114,0.229009
368.000000,1.142646,0.126593
369.000000,1.342576,0.089705
370.000000,1.519728,0.064290
371.000000,1.487862,0.068394
372.000000,1.248262,0.105968
373.000000,1.072239,0.141806
374.000000,1.221749,0.110901
375.000000,0.655039,0.256221
376.000000,0.661209,0.254239
377.000000,0.654709,0.256327
378.000000,-0.192976,0.423489
379.000000,-0.168016,0.433285
380.000000,0.179517,0.428766
381.000000,2.748780,0.002991
382.000000,3.890821,0.000050
383.000000,0.533977,0.296679
384.000000,1.690235,0.045491
385.000000,4.785824,0.000001
386.000000,5.471837,0.000000
387.000000,5.328032,0.000000
388.000000,-1.291219,0.098314
389.000000,2.062658,0.019573
390.000000,5.043612,0.000000
391.000000,3.247623,0.000582
392.000000,3.283111,0.000513
393.000000,-0.566953,0.285373
394.000000,2.418731,0.007787
395.000000,-0.027996,0.488833
396.000000,0.652678,0.256982
397.000000,0.549137,0.291456
398.000000,1.281654,0.099982
399.000000,1.160666,0.122889
400.000000,0.372037,0.354932
401.000000,1.000905,0.158436
402.000000,1.082084,0.139608
403.000000,0.534585,0.296468
404.000000,-0.050511,0.479858
405.000000,1.017011,0.154574
406.000000,0.968418,0.166418
407.000000,1.522300,0.063967
408.000000,0.728721,0.233086
409.000000,0.691533,0.244615
410.000000,0.086416,0.465568
411.000000,1.115508,0.132316
412.000000,1.337804,0.090480
413.000000,1.296019,0.097485
414.000000,1.250541,0.105551
415.000000,1.306679,0.095661
416.000000,1.148451,0.125391
417.000000,1.228124,0.109700
418.000000,0.224374,0.411233
419.000000,0.109124,0.456552
420.000000,2.093274,0.018162
421.000000,2.496545,0.006270
422.000000,0.594433,0.276111
423.000000,3.229862,0.000619
424.000000,3.185598,0.000722
425.000000,5.242736,0.000000
426.000000,4.636377,0.000002
427.000000,-0.534808,0.296391
428.000000,5.830145,0.000000
429.000000,4.246829,0.000011
430.000000,2.201804,0.013840
431.000000,-0.840856,0.200214
432.000000,-0.146340,0.441827
433.000000,-1.582480,0.056770
