OID,ID,NID,WEIGHT
435,80,16,1
436,80,21,1
437,80,75,1
438,80,138,1
439,80,143,1
440,80,159,1
441,81,104,1
442,81,111,1
443,81,142,1
444,82,72,1
445,82,85,1
446,82,95,1
447,82,96,1
448,82,101,1
449,82,107,1
450,82,130,1
451,82,135,1
452,82,164,1
453,83,71,1
454,83,76,1
455,83,161,1
456,83,165,1
457,83,167,1
458,84,64,1
459,85,72,1
460,85,73,1
461,85,82,1
462,85,137,1
463,85,160,1
464,85,164,1
465,86,50,1
466,86,147,1
467,86,157,1
468,86,163,1
469,87,5,1
470,87,36,1
471,87,39,1
472,87,65,1
473,87,110,1
474,87,133,1
475,87,169,1
476,88,56,1
477,88,57,1
478,88,114,1
479,88,125,1
480,89,43,1
481,89,90,1
482,89,117,1
483,89,168,1
484,90,4,1
485,90,35,1
486,90,89,1
487,90,91,1
488,90,168,1
489,91,4,1
490,91,69,1
491,91,90,1
492,92,19,1
493,92,112,1
494,93,94,1
495,93,119,1
496,93,140,1
497,94,63,1
498,94,67,1
499,94,93,1
500,94,119,1
501,95,72,1
502,95,82,1
503,95,96,1
504,95,120,1
505,95,153,1
506,96,2,1
507,96,82,1
508,96,95,1
509,96,101,1
510,96,120,1
511,96,124,1
512,97,13,1
513,97,39,1
514,97,45,1
515,97,60,1
516,97,106,1
517,97,162,1
518,98,20,1
519,98,29,1
520,98,48,1
521,98,58,1
522,98,59,1
523,98,78,1
524,98,149,1
525,99,42,1
526,99,43,1
527,99,70,1
528,99,150,1
529,100,28,1
530,100,101,1
531,100,130,1
532,100,146,1
533,100,161,1
534,101,2,1
535,101,82,1
536,101,96,1
537,101,100,1
538,101,130,1
539,101,161,1
540,102,9,1
541,102,41,1
542,102,55,1
543,102,132,1
544,102,136,1
545,102,144,1
546,103,23,1
547,103,132,1
548,104,81,1
549,104,111,1
550,104,121,1
551,105,7,1
552,105,21,1
553,105,44,1
554,105,63,1
555,105,106,1
556,105,170,1
557,106,7,1
558,106,39,1
559,106,45,1
560,106,97,1
561,106,105,1
562,106,170,1
563,107,56,1
564,107,82,1
565,107,130,1
566,107,131,1
567,107,135,1
568,108,24,1
569,108,33,1
570,108,77,1
571,108,79,1
572,108,161,1
573,108,165,1
574,109,55,1
575,109,74,1
576,109,132,1
577,109,144,1
578,110,51,1
579,110,65,1
580,110,67,1
581,110,87,1
582,110,166,1
583,110,169,1
584,111,16,1
585,111,81,1
586,111,104,1
587,111,121,1
588,111,142,1
589,111,143,1
590,111,159,1
591,112,19,1
592,112,92,1
593,112,113,1
594,113,10,1
595,113,14,1
596,113,19,1
597,113,61,1
598,113,112,1
599,114,56,1
600,114,88,1
601,114,125,1
602,114,131,1
603,115,120,1
604,115,127,1
605,115,141,1
606,116,3,1
607,116,20,1
608,116,38,1
609,116,122,1
610,117,43,1
611,117,89,1
612,117,129,1
613,117,161,1
614,117,168,1
615,118,140,1
616,119,26,1
617,119,67,1
618,119,93,1
619,119,94,1
620,119,140,1
621,119,166,1
622,120,66,1
623,120,95,1
624,120,96,1
625,120,115,1
626,120,124,1
627,120,127,1
628,120,141,1
629,120,153,1
630,121,16,1
631,121,104,1
632,121,111,1
633,121,138,1
634,122,20,1
635,122,38,1
636,122,75,1
637,122,116,1
638,122,138,1
639,123,27,1
640,123,47,1
641,123,49,1
642,123,57,1
643,123,125,1
644,123,126,1
645,123,131,1
646,124,2,1
647,124,8,1
648,124,37,1
649,124,96,1
650,124,120,1
651,124,127,1
652,125,57,1
653,125,88,1
654,125,114,1
655,125,123,1
656,125,131,1
657,126,49,1
658,126,57,1
659,126,59,1
660,126,123,1
661,126,152,1
662,127,8,1
663,127,115,1
664,127,120,1
665,127,124,1
666,127,141,1
667,128,42,1
668,128,70,1
669,128,157,1
670,128,163,1
671,129,28,1
672,129,43,1
673,129,117,1
674,129,155,1
675,129,161,1
676,130,56,1
677,130,82,1
678,130,100,1
679,130,101,1
680,130,107,1
681,130,146,1
682,131,47,1
683,131,56,1
684,131,107,1
685,131,114,1
686,131,123,1
687,131,125,1
688,131,135,1
689,132,9,1
690,132,23,1
691,132,74,1
692,132,102,1
693,132,103,1
694,132,109,1
695,132,144,1
696,132,151,1
697,133,5,1
698,133,39,1
699,133,40,1
700,133,53,1
701,133,54,1
702,133,60,1
703,133,87,1
704,133,158,1
705,133,160,1
706,134,50,1
707,134,147,1
