# id, s, p
306.000000,-0.078322,0.468786
307.000000,0.338766,0.367393
308.000000,-0.295808,0.383688
309.000000,-1.142977,0.126524
310.000000,-0.301759,0.381418
311.000000,-1.322453,0.093009
312.000000,0.450682,0.326109
313.000000,-1.403413,0.080247
314.000000,-0.084092,0.466492
315.000000,-2.501401,0.006185
316.000000,1.422890,0.077384
317.000000,-1.986223,0.023504
318.000000,0.431434,0.333076
319.000000,-1.488648,0.068290
320.000000,2.301286,0.010688
321.000000,-0.279308,0.390004
322.000000,-1.013012,0.155527
323.000000,-1.250235,0.105607
324.000000,-0.632389,0.263566
325.000000,0.182400,0.427634
326.000000,-0.749809,0.226685
327.000000,-0.325118,0.372546
328.000000,1.633984,0.051131
329.000000,1.451338,0.073343
330.000000,1.702734,0.044309
331.000000,1.581675,0.056862
332.000000,1.534820,0.062414
333.000000,1.494531,0.067518
334.000000,0.678398,0.248760
335.000000,1.743400,0.040632
336.000000,-1.047434,0.147450
337.000000,-0.391617,0.347671
338.000000,-0.698384,0.242468
339.000000,-0.220616,0.412696
340.000000,0.798105,0.212405
341.000000,-1.640398,0.050461
342.000000,-1.718597,0.042844
343.000000,-0.098817,0.460642
344.000000,-0.428787,0.334039
345.000000,-0.369492,0.355881
346.000000,0.905113,0.182703
347.000000,-1.492945,0.067726
348.000000,-1.164235,0.122164
349.000000,-0.015792,0.493700
350.000000,-0.409725,0.341004
351.000000,-0.168396,0.433136
352.000000,0.022420,0.491056
353.000000,-0.610275,0.270840
354.000000,-1.406806,0.079742
355.000000,-0.105483,0.457996
356.000000,1.096420,0.136447
357.000000,1.723207,0.042426
358.000000,2.077229,0.018890
359.000000,1.702903,0.044293
360.000000,1.481065,0.069295
361.000000,-0.123378,0.450904
362.000000,1.529191,0.063109
363.000000,-1.293710,0.097883
364.000000,-0.389410,0.348486
365.000000,1.720472,0.042673
366.000000,-1.334625,0.090999
367.000000,-0.994454,0.160001
368.000000,-0.134698,0.446425
369.000000,-2.329460,0.009917
370.000000,0.272287,0.392701
371.000000,-1.827190,0.033836
372.000000,-0.888193,0.187218
373.000000,-0.894095,0.185636
374.000000,0.366033,0.357170
375.000000,-2.887320,0.001943
376.000000,0.135311,0.446183
377.000000,-0.577223,0.281894
378.000000,-1.914596,0.027772
379.000000,0.661068,0.254284
380.000000,-0.126007,0.449863
381.000000,0.058752,0.476575
382.000000,-0.965950,0.167035
383.000000,0.197495,0.421720
384.000000,1.583733,0.056627
385.000000,1.928323,0.026907
386.000000,2.452737,0.007089
387.000000,2.335671,0.009754
388.000000,2.795907,0.002588
389.000000,1.254368,0.104854
390.000000,0.698534,0.242422
391.000000,-0.713667,0.237717
392.000000,-0.551609,0.290608
393.000000,0.724832,0.234278
394.000000,1.787067,0.036963
395.000000,-0.100658,0.459911
396.000000,-1.234925,0.108429
397.000000,0.461093,0.322366
398.000000,1.316126,0.094066
399.000000,1.785139,0.037119
400.000000,0.552926,0.290157
401.000000,-1.118484,0.131680
402.000000,-0.270329,0.393453
403.000000,-0.191692,0.423992
404.000000,0.143238,0.443051
405.000000,-1.108577,0.133806
406.000000,-1.281871,0.099944
407.000000,-0.966916,0.166793
408.000000,0.432507,0.332687
409.000000,-1.513069,0.065131
410.000000,2.040884,0.020631
411.000000,1.237752,0.107904
412.000000,2.567738,0.005118
413.000000,3.003624,0.001334
414.000000,3.071423,0.001065
415.000000,3.094196,0.000987
416.000000,2.305342,0.010574
417.000000,1.453656,0.073021
418.000000,2.272353,0.011533
419.000000,0.427246,0.334600
420.000000,-0.363696,0.358043
421.000000,0.358246,0.360080
422.000000,1.224815,0.110323
423.000000,-1.299524,0.096882
424.000000,-0.122273,0.451342
425.000000,-0.459999,0.322759
426.000000,-0.502281,0.307735
427.000000,-1.236703,0.108099
428.000000,0.054618,0.478222
429.000000,1.203130,0.114463
430.000000,-0.336380,0.368292
431.000000,0.235002,0.407104
432.000000,-1.938703,0.026269
433.000000,-0.084590,0.466294
434.000000,-2.228382,0.012928
435.000000,-0.718630,0.236185
436.000000,-2.196155,0.014040
437.000000,0.368083,0.356406
438.000000,0.885859,0.187847
439.000000,1.492602,0.067771
440.000000,2.826904,0.002350
441.000000,3.796347,0.000073
442.000000,4.043368,0.000026
443.000000,3.567704,0.000180
444.000000,2.790607,0.002630
445.000000,1.902281,0.028567
446.000000,0.409547,0.341069
447.000000,0.545690,0.292640
448.000000,1.134671,0.128257
449.000000,0.704263,0.240634
450.000000,-2.618164,0.004420
451.000000,-0.115036,0.454208
452.000000,-1.930808,0.026753
453.000000,-0.376328,0.353337
454.000000,-0.660817,0.254365
455.000000,1.225842,0.110129
456.000000,2.223902,0.013078
457.000000,1.425229,0.077045
458.000000,-0.354273,0.361567
459.000000,-1.560687,0.059299
460.000000,-0.875632,0.190615
461.000000,1.123662,0.130578
462.000000,0.775655,0.218976
463.000000,-1.374830,0.084592
464.000000,-1.244710,0.106619
465.000000,1.623151,0.052279
466.000000,1.400823,0.080634
467.000000,1.870663,0.030696
468.000000,3.151512,0.000812
469.000000,4.052097,0.000025
470.000000,4.521758,0.000003
471.000000,4.091745,0.000021
472.000000,3.034917,0.001203
473.000000,2.394063,0.008331
474.000000,-0.156524,0.437810
475.000000,-1.051453,0.146525
476.000000,-1.309453,0.095190
477.000000,-1.015867,0.154846
478.000000,-0.740095,0.229621
479.000000,-0.033597,0.486599
480.000000,0.349726,0.363272
481.000000,0.540795,0.294324
482.000000,-1.663050,0.048151
483.000000,-0.271662,0.392941
484.000000,0.879052,0.189686
485.000000,1.153648,0.124322
486.000000,0.756905,0.224554
487.000000,-0.696482,0.243063
488.000000,-0.000129,0.499949
489.000000,-1.067032,0.142979
490.000000,0.081803,0.467402
491.000000,-0.710724,0.238628
492.000000,-0.187314,0.425707
493.000000,-0.580486,0.280793
494.000000,-0.073565,0.470678
495.000000,1.354631,0.087767
496.000000,2.742596,0.003048
497.000000,3.657284,0.000127
498.000000,3.961468,0.000037
499.000000,3.396850,0.000341
500.000000,2.467395,0.006805
501.000000,1.353778,0.087904
502.000000,0.480715,0.315359
503.000000,-1.623779,0.052211
504.000000,-0.675759,0.249597
505.000000,-1.546057,0.061045
506.000000,0.112679,0.455143
507.000000,0.081558,0.467499
508.000000,-0.504609,0.306917
509.000000,0.908834,0.181719
510.000000,0.055726,0.477780
511.000000,-0.429087,0.333930
512.000000,-0.442870,0.328930
513.000000,1.228657,0.109600
514.000000,-0.669017,0.251742
515.000000,-0.312146,0.377465
516.000000,0.627014,0.265325
517.000000,0.189050,0.425027
518.000000,-1.611501,0.053535
519.000000,0.834441,0.202016
520.000000,0.487660,0.312895
521.000000,0.877140,0.190205
522.000000,0.359652,0.359554
523.000000,1.821658,0.034253
524.000000,2.200762,0.013876
525.000000,2.683616,0.003642
526.000000,2.616614,0.004440
527.000000,2.423425,0.007687
528.000000,1.831827,0.033489
529.000000,1.307016,0.095604
530.000000,1.384828,0.083053
531.000000,-0.643655,0.259900
532.000000,-0.039407,0.484283
533.000000,-1.464762,0.071493
534.000000,-1.789738,0.036748
535.000000,-0.384278,0.350386
536.000000,-1.294303,0.097780
537.000000,0.061769,0.475374
538.000000,0.651258,0.257440
539.000000,-0.076489,0.469515
540.000000,-0.369016,0.356058
541.000000,0.339632,0.367067
542.000000,-1.169589,0.121083
543.000000,-0.246683,0.402577
544.000000,-1.386741,0.082760
545.000000,1.242187,0.107084
546.000000,-0.980426,0.163438
547.000000,-0.581662,0.280397
548.000000,0.018521,0.492612
549.000000,-0.051483,0.479470
550.000000,-0.550221,0.291084
551.000000,1.874256,0.030448
552.000000,1.031574,0.151136
553.000000,1.179618,0.119076
554.000000,1.259759,0.103878
555.000000,0.944154,0.172545
556.000000,0.968858,0.166308
557.000000,0.634285,0.262947
558.000000,-0.691934,0.244489
559.000000,-0.829517,0.203406
560.000000,1.704658,0.044129
561.000000,-0.157871,0.437279
562.000000,-1.629628,0.051590
563.000000,-1.876273,0.030309
564.000000,-0.312642,0.377276
565.000000,-0.145995,0.441963
566.000000,0.182041,0.427775
567.000000,-2.165282,0.015183
568.000000,-0.601215,0.273849
569.000000,0.887277,0.187465
570.000000,0.375927,0.353486
571.000000,-2.652480,0.003995
572.000000,0.792865,0.213928
573.000000,-1.777223,0.037766
574.000000,-1.235073,0.108402
575.000000,-1.208371,0.113452
576.000000,-2.545461,0.005457
577.000000,-1.728551,0.041945
578.000000,-0.660548,0.254451
579.000000,-0.301904,0.381363
580.000000,1.432797,0.075958
581.000000,0.502994,0.307484
582.000000,0.401983,0.343848
583.000000,1.366745,0.085853
584.000000,0.232340,0.408137
585.000000,0.407168,0.341942
586.000000,1.263093,0.103278
587.000000,1.093296,0.137132
588.000000,1.605243,0.054220
